"","year","CDC","AGI","state"
"165","1983","13,664","","AZ"
"166","1984","14,874","21,190","AZ"
"167","1985","15,604","22,330","AZ"
"168","1986","15,803","","AZ"
"169","1987","17,138","22,130","AZ"
"170","1988","15,922","23,070","AZ"
"171","1989","12,688","","AZ"
"172","1990","15,783","","AZ"
"173","1991","15,491","19,690","AZ"
"174","1992","14,353","20,600","AZ"
"175","1993","13,648","","AZ"
"176","1994","13,930","","AZ"
"177","1995","11,933","18,120","AZ"
"178","1996","11,016","19,310","AZ"
"179","1997","11,266","","AZ"
"180","1998","14,747","","AZ"
"181","1999","10,765","(16,500)","AZ"
"182","2000","10,064","17,940","AZ"
"183","2001","8,302","","AZ"
"184","2002","10,677","","AZ"
"185","2003","10,316","","AZ"
"186","2004","12,690","(17,930)","AZ"
"187","2005","10,778","19,480","AZ"
"188","2006","10,836","","AZ"
"189","2007","10,759","17,550","AZ"
"190","2008","10,660","19,500","AZ"
"191","2009","10,271","","AZ"
"192","2010","11,438","15,180","AZ"
"193","2011","14,401","16,100","AZ"
"194","2012","13,340","","AZ"
"195","2013","13,401","13,580","AZ"
"196","2014","12,900","12,870","AZ"
"197","2015","12,655","","AZ"
"198","2016","13,332","","AZ"
"199","2017","12,533","","AZ"
"200","2018","","","AZ"
"201","year","abortions, reported(CDC/state)","abortions(AGI)","AZ"
"202","year","total in state","abortions(AGI)","AZ"
"203","year","total in state","abortions(AGI)","AR"
"204","1940","","","AR"
"205","1941","","","AR"
"206","1942","","","AR"
"207","1943","","","AR"
"208","1944","","","AR"
"209","1945","","","AR"
"210","1946","","","AR"
"211","1947","","","AR"
"212","1948","","","AR"
"213","1949","","","AR"
"214","1950","","","AR"
"215","1951","","","AR"
"216","1952","","","AR"
"217","1953","","","AR"
"218","1954","","","AR"
"219","1955","","","AR"
"220","1956","","","AR"
"221","1957","","","AR"
"222","1958","","","AR"
"223","1959","","","AR"
"224","1960","","","AR"
"225","1961","","","AR"
"226","1962","","","AR"
"227","1963","","","AR"
"228","1964","","","AR"
"229","1965","","","AR"
"230","1966","","","AR"
"231","1967","","","AR"
"232","1968","","","AR"
"233","1969","","","AR"
"234","1970","","","AR"
"235","1971","637","","AR"
"236","1972","793","","AR"
"237","1973","1,138","1,140","AR"
"238","1974","1,694","1,940","AR"
"239","1975","1,925","2,610","AR"
"240","1976","3,286","4,210","AR"
"241","1977","2,726","3,570","AR"
"242","1978","5,014","5,150","AR"
"243","1979","6,059","6,110","AR"
"244","1980","5,995","6,190","AR"
"245","1981","5,722","6,370","AR"
"246","1982","5,437","6,660","AR"
"247","1983","5,186","","AR"
"248","1984","5,243","4,680","AR"
"249","1985","5,135","5,420","AR"
"250","1986","6,437","","AR"
"251","1987","6,589","7,030","AR"
"252","1988","5,439","6,250","AR"
"253","1989","4,942","","AR"
"254","1990","5,953","","AR"
"255","1991","6,211","7,150","AR"
"256","1992","5,675","7,130","AR"
"257","1993","5,582","","AR"
"258","1994","5,885","","AR"
"259","1995","5,757","6,010","AR"
"260","1996","5,882","6,200","AR"
"261","1997","5,782","","AR"
"262","1998","5,634","","AR"
"263","1999","5,755","(5,320)","AR"
"264","2000","5,501","5,540","AR"
"265","2001","5,924","","AR"
"266","2002","5,316","","AR"
"267","2003","5,408","","AR"
"268","2004","4,644","(4,610)","AR"
"269","2005","4,695","4,710","AR"
"270","2006","4,988","","AR"
"271","2007","4,845","4,890","AR"
"272","2008","4,789","4,890","AR"
"273","2009","4,580","","AR"
"274","2010","4,532","4,680","AR"
"275","2011","4,033","4,370","AR"
"276","2012","3,782","","AR"
"277","2013","3,732","4,470","AR"
"278","2014","4,253","4,590","AR"
"279","2015","3,771","","AR"
"280","2016","3,207","","AR"
"281","2017","3,249","","AR"
"282","2018","","","AR"
"283","year","abortions, reported(CDC/state)","abortions(AGI)","AR"
"284","year","total in state","abortions(AGI)","AR"
"285","year","total in state","abortions(AGI)","CA"
"286","1930","","","CA"
"287","1931","(30)","","CA"
"288","1932","(30)","","CA"
"289","1933","(30)","","CA"
"290","1934","(30)","","CA"
"291","1935","(30)","","CA"
"292","1936","(20)","","CA"
"293","1937","(20)","","CA"
"294","1938","(20)","","CA"
"295","1939","(20)","","CA"
"296","1940","(20)","","CA"
"297","1941","(10)","","CA"
"298","1942","(20)","","CA"
"299","1943","(20)","","CA"
"300","1944","(20)","","CA"
"301","1945","(20)","","CA"
"302","1946","(10)","","CA"
"303","1947","(10)","","CA"
"304","1948","(10)","","CA"
"305","1949","(2)","","CA"
"306","1950","(2)","","CA"
"307","1951","","","CA"
"308","1952","","","CA"
"309","1953","","","CA"
"310","1954","","","CA"
"311","1955","","","CA"
"312","1956","","","CA"
"313","1957","","","CA"
"314","1958","","","CA"
"315","1959","","","CA"
"316","1960","","","CA"
"317","1961","","","CA"
"318","1962","","","CA"
"319","1963","","","CA"
"320","1964","","","CA"
"321","1965","","","CA"
"322","1966","","","CA"
"323","1967","(600)","","CA"
"324","1968","5,030","","CA"
"325","1969","20,800","","CA"
"326","1970","65,369","","CA"
"327","1971","116,749","","CA"
"328","1972","138,584","","CA"
"329","1973","131,870","143,910","CA"
"330","1974","135,762","158,890","CA"
"331","1975","142,067","165,550","CA"
"332","1976","142,593","192,930","CA"
"333","1977","164,729","209,250","CA"
"334","1978","171,982","234,520","CA"
"335","1979","187,312","248,080","CA"
"336","1980","203,754","250,380","CA"
"337","1981","202,000","262,710","CA"
"338","1982","(207,099)","265,740","CA"
"339","1983","(209,481)","","CA"
"340","1984","297,730","297,730","CA"
"341","1985","304,130","304,130","CA"
"342","1986","313,226","","CA"
"343","1987","325,162","300,830","CA"
"344","1988","(334,887)","311,720","CA"
"345","1989","(354,692)","","CA"
"346","1990","(357,579)","","CA"
"347","1991","(350,983)","320,960","CA"
"348","1992","(338,700)","304,230","CA"
"349","1993","124,000","","CA"
"350","1994","119,000","","CA"
"351","1995","107,499","240,240","CA"
"352","1996","112,990","237,830","CA"
"353","1997","112,310","","CA"
"354","1998","110,295","","CA"
"355","1999","82,325","(234,000)","CA"
"356","2000","75,209","236,060","CA"
"357","2001","84,381","","CA"
"358","2002","90,040","","CA"
"359","2003","90,953","","CA"
"360","2004","90,946","(208,180)","CA"
"361","2005","94,602","208,430","CA"
"362","2006","80,647","","CA"
"363","2007","80,069","223,180","CA"
"364","2008","85,843","214,190","CA"
"365","2009","88,466","","CA"
"366","2010","93,542","191,550","CA"
"367","2011","95,101","181,730","CA"
"368","2012","95,279","","CA"
"369","2013","93,253","164,190","CA"
"370","2014","83,485","157,350","CA"
"371","2015","","","CA"
"372","2016","","","CA"
"373","2017","","","CA"
"374","2018","","","CA"
"375","year","abortions, reported(CDC/state)","abortions(AGI)","CA"
"376","year","total in state","abortions(AGI)","CA"
"377","year","total in state","abortions(AGI)","CO"
"378","1961","","","CO"
"379","1962","","","CO"
"380","1963","","","CO"
"381","1964","","","CO"
"382","1965","","","CO"
"383","1966","","","CO"
"384","1967","140","","CO"
"385","1968","521","","CO"
"386","1969","1,000","","CO"
"387","1970","2,581","","CO"
"388","1971","4,273","","CO"
"389","1972","5,383","","CO"
"390","1973","7,451","7,580","CO"
"391","1974","9,027","11,310","CO"
"392","1975","10,466","13,640","CO"
"393","1976","11,539","14,920","CO"
"394","1977","12,913","18,680","CO"
"395","1978","15,397","19,800","CO"
"396","1979","16,476","22,420","CO"
"397","1980","17,601","23,140","CO"
"398","1981","17,240","23,860","CO"
"399","1982","16,685","25,170","CO"
"400","1983","16,793","","CO"
"401","1984","17,550","24,600","CO"
"402","1985","15,553","24,350","CO"
"403","1986","14,144","","CO"
"404","1987","12,232","18,850","CO"
"405","1988","12,425","18,740","CO"
"406","1989","12,445","","CO"
"407","1990","12,679","","CO"
"408","1991","11,402","21,010","CO"
"409","1992","10,607","19,880","CO"
"410","1993","10,115","","CO"
"411","1994","9,584","","CO"
"412","1995","9,384","15,690","CO"
"413","1996","9,710","18,310","CO"
"414","1997","9,183","","CO"
"415","1998","7,493","","CO"
"416","1999","5,017","(14,800)","CO"
"417","2000","4,215","15,530","CO"
"418","2001","4,633","","CO"
"419","2002","7,757","","CO"
"420","2003","9,852","","CO"
"421","2004","11,415","(15,500)","CO"
"422","2005","11,682","16,120","CO"
"423","2006","11,048","","CO"
"424","2007","11,363","16,260","CO"
"425","2008","11,581","15,960","CO"
"426","2009","11,598","","CO"
"427","2010","11,438","15,060","CO"
"428","2011","10,474","14,710","CO"
"429","2012","9,972","","CO"
"430","2013","10,199","12,870","CO"
"431","2014","10,648","13,160","CO"
"432","2015","10,114","","CO"
"433","2016","","","CO"
"434","2017","","","CO"
"435","2018","","","CO"
"436","year","abortions, reported(CDC/state)","abortions(AGI)","CO"
"437","year","total in state","abortions(AGI)","CO"
"438","year","total in state","abortions(AGI)","CT"
"439","1970","","","CT"
"440","1971","","","CT"
"441","1972","2,579","","CT"
"442","1973","","6,770","CT"
"443","1974","7,083","9,320","CT"
"444","1975","10,820","11,440","CT"
"445","1976","13,447","15,670","CT"
"446","1977","14,997","16,680","CT"
"447","1978","13,784","17,800","CT"
"448","1979","14,214","18,390","CT"
"449","1980","14,835","18,450","CT"
"450","1981","16,565","22,620","CT"
"451","1982","18,449","23,180","CT"
"452","1983","18,653","","CT"
"453","1984","19,534","21,490","CT"
"454","1985","19,729","21,850","CT"
"455","1986","19,868","","CT"
"456","1987","19,994","22,380","CT"
"457","1988","20,219","23,630","CT"
"458","1989","19,731","","CT"
"459","1990","18,776","","CT"
"460","1991","18,534","20,530","CT"
"461","1992","17,762","19,720","CT"
"462","1993","16,690","","CT"
"463","1994","18,534","","CT"
"464","1995","11,325","16,680","CT"
"465","1996","14,094","16,230","CT"
"466","1997","13,802","","CT"
"467","1998","12,939","","CT"
"468","1999","12,958","(14,400)","CT"
"469","2000","12,908","15,240","CT"
"470","2001","13,265","","CT"
"471","2002","13,470","","CT"
"472","2003","12,404","","CT"
"473","2004","12,189","(16,810)","CT"
"474","2005","12,110","16,780","CT"
"475","2006","14,112","","CT"
"476","2007","14,534","17,390","CT"
"477","2008","14,442","17,030","CT"
"478","2009","13,732","","CT"
"479","2010","13,438","15,430","CT"
"480","2011","12,615","14,640","CT"
"481","2012","11,955","","CT"
"482","2013","10,560","13,320","CT"
"483","2014","10,611","13,140","CT"
"484","2015","9,938","","CT"
"485","2016","9,902","","CT"
"486","2017","9,584","","CT"
"487","2018","","","CT"
"488","year","abortions, reported(CDC/state)","abortions(AGI)","CT"
"489","year","total in state","abortions(AGI)","CT"
"490","year","total in state","abortions(AGI)","DE"
"491","1970","560","","DE"
"492","1971","","","DE"
"493","1972","1,342","","DE"
"494","1973","","2,050","DE"
"495","1974","2,167","2,190","DE"
"496","1975","2,322","2,350","DE"
"497","1976","2,519","2,550","DE"
"498","1977","2,299","3,020","DE"
"499","1978","3,410","3,470","DE"
"500","1979","3,636","3,650","DE"
"501","1980","3,726","3,740","DE"
"502","1981","4,062","4,040","DE"
"503","1982","3,907","3,870","DE"
"504","1983","4,232","","DE"
"505","1984","4,669","4,710","DE"
"506","1985","4,549","4,590","DE"
"507","1986","4,205","","DE"
"508","1987","5,571","5,680","DE"
"509","1988","5,458","5,710","DE"
"510","1989","5,306","","DE"
"511","1990","5,557","","DE"
"512","1991","5,547","5,720","DE"
"513","1992","5,601","5,730","DE"
"514","1993","5,037","","DE"
"515","1994","5,637","","DE"
"516","1995","4,295","5,790","DE"
"517","1996","4,482","4,090","DE"
"518","1997","5,138","","DE"
"519","1998","5,455","","DE"
"520","1999","5,161","(5,190)","DE"
"521","2000","5,082","5,440","DE"
"522","2001","4,869","","DE"
"523","2002","4,493","","DE"
"524","2003","4,178","","DE"
"525","2004","4,588","(4,950)","DE"
"526","2005","4,148","5,150","DE"
"527","2006","4,804","","DE"
"528","2007","4,949","7,570","DE"
"529","2008","4,603","7,070","DE"
"530","2009","4,710","","DE"
"531","2010","4,666","6,570","DE"
"532","2011","3,794","5,090","DE"
"533","2012","3,823","","DE"
"534","2013","3,042","3,190","DE"
"535","2014","2,937","3,010","DE"
"536","2015","2,785","","DE"
"537","2016","1,893","","DE"
"538","2017","","","DE"
"539","2018","","","DE"
"540","year","abortions, reported(CDC/state)","abortions(AGI)","DE"
"541","year","total in state","abortions(AGI)","DE"
"542","year","total in state","abortions(AGI)","DC"
"543","1970","1,710","","DC"
"544","1971","18,897","","DC"
"545","1972","38,868","","DC"
"546","1973","40,812","44,550","DC"
"547","1974","22,688","33,010","DC"
"548","1975","31,519","31,440","DC"
"549","1976","31,407","32,150","DC"
"550","1977","29,545","31,620","DC"
"551","1978","29,786","30,850","DC"
"552","1979","28,694","28,670","DC"
"553","1980","27,183","28,520","DC"
"554","1981","25,952","30,310","DC"
"555","1982","24,207","28,630","DC"
"556","1983","22,867","","DC"
"557","1984","23,132","23,690","DC"
"558","1985","19,541","23,910","DC"
"559","1986","19,942","","DC"
"560","1987","20,879","25,840","DC"
"561","1988","20,822","26,120","DC"
"562","1989","19,535","","DC"
"563","1990","19,969","","DC"
"564","1991","18,899","21,510","DC"
"565","1992","17,698","21,320","DC"
"566","1993","17,485","","DC"
"567","1994","16,437","","DC"
"568","1995","14,131","16,840","DC"
"569","1996","13,674","15,220","DC"
"570","1997","8,771","","DC"
"571","1998","8,336","","DC"
"572","1999","7,373","(9,790)","DC"
"573","2000","6,659","9,800","DC"
"574","2001","5,385","","DC"
"575","2002","5,511","","DC"
"576","2003","5,121","","DC"
"577","2004","2,401","(7,130)","DC"
"578","2005","2,518","7,230","DC"
"579","2006","2,692","","DC"
"580","2007","2,369","4,160","DC"
"581","2008","2,553","4,450","DC"
"582","2009","2,596","","DC"
"583","2010","2,896","4,660","DC"
"584","2011","2,768","4,750","DC"
"585","2012","2,615","","DC"
"586","2013","2,561","5,650","DC"
"587","2014","2,790","5,820","DC"
"588","2015","1,267","","DC"
"589","2016","","","DC"
"590","2017","","","DC"
"591","2018","","","DC"
"592","year","abortions, reported(CDC/state)","abortions(AGI)","DC"
"593","year","total in state","abortions(AGI)","DC"
"594","year","total in state","abortions(AGI)","FL"
"595","1950","","","FL"
"596","1951","","","FL"
"597","1952","","","FL"
"598","1953","","","FL"
"599","1954","","","FL"
"600","1955","","","FL"
"601","1956","","","FL"
"602","1957","","","FL"
"603","1958","","","FL"
"604","1959","","","FL"
"605","1960","","","FL"
"606","1961","","","FL"
"607","1962","","","FL"
"608","1963","","","FL"
"609","1964","","","FL"
"610","1965","","","FL"
"611","1966","","","FL"
"612","1967","","","FL"
"613","1968","","","FL"
"614","1969","","","FL"
"615","1970","","","FL"
"616","1971","","","FL"
"617","1972","3,378","","FL"
"618","1973","16,156","22,850","FL"
"619","1974","15,212","30,390","FL"
"620","1975","16,745","46,500","FL"
"621","1976","37,340","51,110","FL"
"622","1977","41,571","57,340","FL"
"623","1978","43,884","63,470","FL"
"624","1979","56,152","70,190","FL"
"625","1980","61,659","73,580","FL"
"626","1981","67,802","77,040","FL"
"627","1982","64,553","76,910","FL"
"628","1983","(64,444)","","FL"
"629","1984","50,507","75,800","FL"
"630","1985","53,011","76,650","FL"
"631","1986","50,262","","FL"
"632","1987","52,697","80,560","FL"
"633","1988","65,153","82,850","FL"
"634","1989","62,626","","FL"
"635","1990","66,071","","FL"
"636","1991","71,254","84,570","FL"
"637","1992","69,285","84,680","FL"
"638","1993","70,069","","FL"
"639","1994","73,394","","FL"
"640","1995","74,749","87,500","FL"
"641","1996","80,040","94,050","FL"
"642","1997","81,692","","FL"
"643","1998","82,335","","FL"
"644","1999","83,971","(94,100)","FL"
"645","2000","88,563","103,050","FL"
"646","2001","85,589","","FL"
"647","2002","87,964","","FL"
"648","2003","89,995","","FL"
"649","2004","91,710","(96,680)","FL"
"650","2005","92,513","92,300","FL"
"651","2006","95,586","","FL"
"652","2007","91,954","95,520","FL"
"653","2008","87,520","94,360","FL"
"654","2009","82,038","","FL"
"655","2010","79,908","86,180","FL"
"656","2011","77,166","84,990","FL"
"657","2012","76,151","","FL"
"658","2013","72,727","77,020","FL"
"659","2014","72,107","75,990","FL"
"660","2015","72,023","","FL"
"661","2016","69,765","","FL"
"662","2017","69,064","","FL"
"663","2018","54,512","","FL"
"664","year","abortions, reported(CDC/state)","abortions(AGI)","FL"
"665","year","total in state","abortions(AGI)","FL"
"666","year","total in state","abortions(AGI)","GA"
"667","1969","168","","GA"
"668","1970","705","","GA"
"669","1971","1,579","","GA"
"670","1972","2,509","","GA"
"671","1973","12,301","10,970","GA"
"672","1974","22,009","21,740","GA"
"673","1975","23,733","23,780","GA"
"674","1976","25,586","25,820","GA"
"675","1977","29,905","32,380","GA"
"676","1978","34,657","36,080","GA"
"677","1979","36,588","38,760","GA"
"678","1980","33,288","37,890","GA"
"679","1981","31,894","37,940","GA"
"680","1982","33,213","38,480","GA"
"681","1983","34,514","","GA"
"682","1984","34,301","38,710","GA"
"683","1985","35,751","38,340","GA"
"684","1986","33,246","","GA"
"685","1987","36,439","36,030","GA"
"686","1988","35,213","36,720","GA"
"687","1989","35,857","","GA"
"688","1990","39,245","","GA"
"689","1991","38,407","39,720","GA"
"690","1992","38,052","39,680","GA"
"691","1993","37,819","","GA"
"692","1994","36,374","","GA"
"693","1995","35,178","36,940","GA"
"694","1996","35,790","37,320","GA"
"695","1997","35,702","","GA"
"696","1998","32,349","","GA"
"697","1999","33,095","(33,200)","GA"
"698","2000","31,680","32,140","GA"
"699","2001","33,545","","GA"
"700","2002","34,298","","GA"
"701","2003","34,545","","GA"
"702","2004","32,708","(34,100)","GA"
"703","2005","31,739","33,180","GA"
"704","2006","30,550","","GA"
"705","2007","31,038","35,740","GA"
"706","2008","35,888","39,820","GA"
"707","2009","32,925","","GA"
"708","2010","34,585","35,590","GA"
"709","2011","32,770","34,910","GA"
"710","2012","31,370","","GA"
"711","2013","30,673","33,550","GA"
"712","2014","30,013","33,000","GA"
"713","2015","31,009","","GA"
"714","2016","29,551","","GA"
"715","2017","27,453","","GA"
"716","2018","","","GA"
"717","year","abortions, reported(CDC/state)","abortions(AGI)","GA"
"718","year","total in state","abortions(AGI)","GA"
"719","year","total in state","abortions(AGI)","HI"
"720","1967","12","","HI"
"721","1968","12","","HI"
"722","1969","75","","HI"
"723","1970","2,867","","HI"
"724","1971","4,135","","HI"
"725","1972","4,547","","HI"
"726","1973","4,534","4,730","HI"
"727","1974","4,158","5,310","HI"
"728","1975","4,545","5,930","HI"
"729","1976","5,163","5,870","HI"
"730","1977","5,249","7,940","HI"
"731","1978","6,014","7,090","HI"
"732","1979","6,125","7,600","HI"
"733","1980","6,462","7,960","HI"
"734","1981","6,692","8,830","HI"
"735","1982","6,224","9,140","HI"
"736","1983","6,041","","HI"
"737","1984","5,334","10,430","HI"
"738","1985","5,670","11,160","HI"
"739","1986","5,700","","HI"
"740","1987","5,971","11,290","HI"
"741","1988","6,040","11,170","HI"
"742","1989","5,316","","HI"
"743","1990","4,748","","HI"
"744","1991","5,714","12,130","HI"
"745","1992","5,954","12,190","HI"
"746","1993","5,835","","HI"
"747","1994","5,783","","HI"
"748","1995","5,533","7,510","HI"
"749","1996","4,916","6,930","HI"
"750","1997","4,520","","HI"
"751","1998","4,162","","HI"
"752","1999","4,404","(6,170)","HI"
"753","2000","3,941","5,630","HI"
"754","2001","3,999","","HI"
"755","2002","3,920","","HI"
"756","2003","3,608","","HI"
"757","2004","3,467","(5,190)","HI"
"758","2005","3,548","5,350","HI"
"759","2006","3,990","","HI"
"760","2007","3,756","5,650","HI"
"761","2008","3,273","5,630","HI"
"762","2009","3,342","","HI"
"763","2010","3,064","5,520","HI"
"764","2011","2,671","5,580","HI"
"765","2012","2,824","","HI"
"766","2013","2,422","4,250","HI"
"767","2014","2,147","3,760","HI"
"768","2015","2,026","","HI"
"769","2016","","","HI"
"770","2017","","","HI"
"771","2018","","","HI"
"772","year","abortions, reported(CDC/state)","abortions(AGI)","HI"
"773","year","total in state","abortions(AGI)","HI"
"774","year","total in state","abortions(AGI)","ID"
"775","1970","","","ID"
"776","1971","","","ID"
"777","1972","","","ID"
"778","1973","","380","ID"
"779","1974","778","780","ID"
"780","1975","672","1,080","ID"
"781","1976","968","1,330","ID"
"782","1977","1,060","1,730","ID"
"783","1978","2,107","1,800","ID"
"784","1979","2,446","2,050","ID"
"785","1980","2,553","2,740","ID"
"786","1981","2,706","3,010","ID"
"787","1982","2,431","3,020","ID"
"788","1983","2,456","","ID"
"789","1984","2,384","2,740","ID"
"790","1985","2,252","2,660","ID"
"791","1986","2,068","","ID"
"792","1987","1,815","1,980","ID"
"793","1988","1,650","1,920","ID"
"794","1989","1,559","","ID"
"795","1990","1,390","","ID"
"796","1991","1,647","1,740","ID"
"797","1992","1,378","1,710","ID"
"798","1993","1,352","","ID"
"799","1994","1,047","","ID"
"800","1995","970","1,500","ID"
"801","1996","1,022","1,600","ID"
"802","1997","878","","ID"
"803","1998","888","","ID"
"804","1999","867","(2,030)","ID"
"805","2000","801","1,950","ID"
"806","2001","738","","ID"
"807","2002","829","","ID"
"808","2003","911","","ID"
"809","2004","963","(1,990)","ID"
"810","2005","1,099","1,810","ID"
"811","2006","1,249","","ID"
"812","2007","1,442","2,010","ID"
"813","2008","1,481","1,800","ID"
"814","2009","1,650","","ID"
"815","2010","1,510","1,740","ID"
"816","2011","1,440","1,680","ID"
"817","2012","1,458","","ID"
"818","2013","1,375","1,350","ID"
"819","2014","1,353","1,320","ID"
"820","2015","1,272","","ID"
"821","2016","1,289","","ID"
"822","2017","","","ID"
"823","2018","","","ID"
"824","year","abortions, reported(CDC/state)","abortions(AGI)","ID"
"825","year","total in state","abortions(AGI)","ID"
"826","year","total in state","abortions(AGI)","IL"
"827","1930","","","IL"
"828","1931","(15)","","IL"
"829","1932","(15)","","IL"
"830","1933","(15)","","IL"
"831","1934","(15)","","IL"
"832","1935","(15)","","IL"
"833","1936","(15)","","IL"
"834","1937","(15)","","IL"
"835","1938","(15)","","IL"
"836","1939","(15)","","IL"
"837","1940","","","IL"
"838","1941","","","IL"
"839","1942","","","IL"
"840","1943","","","IL"
"841","1944","","","IL"
"842","1945","","","IL"
"843","1946","","","IL"
"844","1947","","","IL"
"845","1948","","","IL"
"846","1949","","","IL"
"847","1950","","","IL"
"848","1951","","","IL"
"849","1952","","","IL"
"850","1953","","","IL"
"851","1954","","","IL"
"852","1955","","","IL"
"853","1956","","","IL"
"854","1957","","","IL"
"855","1958","","","IL"
"856","1959","","","IL"
"857","1960","","","IL"
"858","1961","","","IL"
"859","1962","","","IL"
"860","1963","","","IL"
"861","1964","","","IL"
"862","1965","","","IL"
"863","1966","","","IL"
"864","1967","","","IL"
